"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca","height","width","length","category_product_categories",
"93657","1","37","1","","0","01-0040","01-0040","open","1","n","0","0","0","0","n","n","1579570581","2020","01","20","0","0","1674995622","","0","use KL200-025 27343-657 ^CARTRIDGE, OIL","7.75","OI","","306","0","0","0","1","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93658","1","37","1","","0","01-0041","01-0041","open","1","n","0","0","0","0","n","n","1579570585","2020","01","20","0","0","1675010454","","0","use KL250-028 1310-0940-83 ^CARTRIDGE, OIL","13","OI","","152","0","3","0","1","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93659","1","37","1","","0","01-00411","01-00411","open","1","n","0","0","0","0","n","n","1579570592","2020","01","20","0","0","1675012395","","0","use KV40-001 AIR/OIL SEPARATOR","95","AS","","0","0","0","0","9","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93660","1","37","1","","0","01-00413","01-00413","closed","2","n","0","0","0","0","n","n","1579570596","2020","01","20","0","0","1673926613","","0","01-00413","0","AS","","0","0","0","0","5","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","","","","",
"93661","1","37","1","","0","01-0042","01-0042","open","1","n","0","0","0","0","n","n","1579570601","2020","01","20","0","0","1675100159","","0","0054436 ^CARTRIDGE, OIL","10.5","OI","","218","116","87","76","1.35","0","0","0","20","0","EACH","0","","","120","0","0","0","0","0","","1689825600","","0.0000","0.0000","0.0000","",
"93662","1","37","1","","0","01-00421","01-00421","open","1","n","0","0","0","0","n","n","1579570606","2020","01","20","0","0","1612470220","","0",".","50.5","AS","","0","0","0","0","0","0","0","0","0","0","EACH","0","","","0","0","0","0","0","0","","","","","","","",
"93663","1","37","1","","0","01-0043","01-0043","open","1","n","0","0","0","0","n","n","1579570610","2020","01","20","0","0","1675045083","","0","2202-9296-00 ^CARTRIDGE,OIL USE KL335-015","38.25","OI","","44","0","0","0","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93664","1","37","1","","0","01-00431","01-00431","open","1","n","0","0","0","0","n","n","1579570620","2020","01","20","0","0","1675022394","","0","CEL65 ^AIR/OIL SEPARATOR","103.75","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93665","1","37","1","","0","01-0044","01-0044","open","1","n","0","0","0","0","n","n","1579570624","2020","01","20","0","0","1675055526","","0","use KL320-014 ATOF-51452 ^CARTRIDGE, OIL","9.5","OI","","69","0","0","0","1.25","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93666","1","37","1","","0","01-0045","01-0045","open","1","n","0","0","0","0","n","n","1579570628","2020","01","20","0","0","1675006176","","0","USE KL200-026  4225 ^CARTRIDGE, OIL","7.75","OI","","895","0","0","0","0.58","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
