"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca",
"275606","1","37","13","","76.190.38.198","KR610-030P","kr610-030p","closed","2","n","0","0","0","0","n","n","1659494895","2022","08","02","0","0","","","0","COALESCER  ^  (MTO)","0","REF","","0","0","0","0","10","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275607","1","37","13","","76.190.38.198","KR640-023PSS","kr640-023pss","closed","2","n","0","0","0","0","n","n","1659494925","2022","08","02","0","0","","","0","SEPARATOR  ^   (MTO)","484.25","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275608","1","37","13","","76.190.38.198","KR720-024PSS","kr720-024pss","open","1","n","0","0","0","0","n","n","1659494988","2022","08","02","0","0","","","0","SEP-PROD","909.75","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275617","1","37","13","","76.190.38.198","KV580-038P","kv580-038p","open","1","n","0","0","0","0","n","n","1659496219","2022","08","02","0","0","","","0","SEPARATOR","133.5","SEP-PROD","","0","0","0","0","0","0","","0","25","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275618","1","37","13","","76.190.38.198","KV610-029P","kv610-029p","closed","2","n","0","0","0","0","n","n","1659496257","2022","08","02","0","0","","","0","08000-036 ^  SEPARATOR *RESTRICTED*","100.75","SEP-PROD","","0","0","0","0","11","0","","0","0","0","EACH","0","0","MTO","0","0","0","0","0","0","0","0","0",
"275619","1","37","13","","76.190.38.198","KV850-005","kv850-005","open","1","n","0","0","0","0","n","n","1659496430","2022","08","02","0","0","","","0","Q1056/C  ^  SEPARATOR (RESTRICTED-CONTACT KELTEC)","0","SEP-PROD","","0","0","0","0","67","0","","0","0","0","MTO- EACH","0","0","RESTRICTED","0","0","0","0","0","0","0","0","0",
"275716","1","37","13","","76.190.38.198","KG1250-033P","kg1250-033p","open","1","n","0","0","0","0","n","n","1659557624","2022","08","03","0","0","1659562297","","0","GAS FILTER  ^  (MTO)","555","KG","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276351","1","37","13","","76.190.38.198","KD1100-095P","kd1100-095p","open","1","n","0","0","0","0","n","n","1660241332","2022","08","11","0","0","1660250843","","0","SEPARATOR  ^  (MTO)","198","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276371","1","37","13","","76.190.38.198","KS260-067P","ks260-067p","open","1","n","0","0","0","0","n","n","1660246304","2022","08","11","0","0","1660310616","","0","AIR FILTER  ^   MIN 5 PCS.","90","KS-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276537","1","37","13","","76.190.38.198","KV930-018P","kv930-018p","open","1","n","0","0","0","0","n","n","1660577315","2022","08","15","0","0","1662060543","","0","SEPARATOR (MTO)","200","SEP-PROD","","0","0","0","0","21.5","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276796","1","37","13","","76.190.38.198","KL425-026","kl425-026","closed","2","n","0","0","0","0","n","n","1660754153","2022","08","17","0","0","1660756197","","0","OIL FILTER","77","OI","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276831","1","37","13","","76.190.38.198","KC1300-062","kc1300-062","open","1","n","0","0","0","0","n","n","1660767677","2022","08","17","0","0","1660828062","","0","250026-120  ^  AIR FILTER","119.25","KC-PROD","","0","0","0","0","18","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"276959","1","37","13","","76.190.38.198","KR1100-092","kr1100-092","open","1","n","0","0","0","0","n","n","1660860860","2022","08","18","0","0","1660863955","","0","531B0099H21  ^  COALESCER","0","REF","","0","0","0","0","22","0","","0","25","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"277024","1","37","13","","76.190.38.198","KL2000-057P","kl2000-057p","open","1","n","0","0","0","0","n","n","1660940309","2022","08","19","0","0","1662149804","","0","OIL FILTER  ^  (MTO)","185","OI","","0","0","0","0","12","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"277126","1","37","13","","76.190.38.198","KV525-032","kv525-032","open","1","n","0","0","0","0","n","n","1661196347","2022","08","22","0","0","1661359089","","0","^  SEPARATOR","0","SEP-PURCH","","0","0","0","0","21","0","","0","25","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"277133","1","37","13","","76.190.38.198","KG825-039P","kg825-039p","open","1","n","0","0","0","0","n","n","1661199867","2022","08","22","0","0","1661204454","","0","058252-0000 ^ELEMENT MIST ELIMINATOR","0","SEP-PROD","","0","0","0","0","9.7","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"277468","1","37","13","","76.190.38.198","KV4000-028P","kv4000-028p","open","1","n","0","0","0","0","n","n","1661462653","2022","08","25","0","0","1662587301","","0","680-1924-C003 ^ELEMENT MIST ELIMINATOR(MTO)","680","SEP-PROD","","0","0","0","0","73","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"277725","1","37","13","","76.190.38.198","KR1100-096","kr1100-096","open","1","n","0","0","0","0","n","n","1661804552","2022","08","29","0","0","1662067398","","0","^  COALESCER  (RESTRICTED)","0","REF","","0","0","0","0","22","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"278036","1","37","13","","76.190.38.198","KV400-067P","kv400-067p","open","1","n","0","0","0","0","n","n","1661891241","2022","08","30","0","0","1662749043","","0","MTO  ^  SEPARATOR","416","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"278114","1","37","13","","76.190.38.198","KV400-068","kv400-068","open","1","n","0","0","0","0","n","n","1661963431","2022","08","31","0","0","1662749050","","0","MTO  ^  SEPARATOR","360","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"278333","1","37","13","","76.190.38.198","KV235-024","kv235-024","open","1","n","0","0","0","0","n","n","1662049600","2022","09","01","0","0","1662067427","","0","019030001-183  ^  SEPARATOR","75","SEP-PROD","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
